Artist and Title,Days,Pk,(x?),Total,Today
Adele - Rolling In the Deep,1971,1,(x1),15248521,1466
Adele - Someone Like You,2172,1,(x51),14531063,1332
Pharrell Williams - Happy,2045,1,(x188),13159417,593
Adele - Set Fire To The Rain,1044,2,(x3),10575061,953
John Legend - All of Me,1966,2,(x1),10326996,1525
Gotye - Somebody That I Used to Know,943,1,(x51),10285766,718
Ed Sheeran - Shape of You,1125,1,(x110),9982325,1521
Ed Sheeran - Perfect,1069,1,(x62),9746173,3269
Rihanna - Diamonds,1427,1,(x14),9702383,1102
Ed Sheeran - Thinking Out Loud,1695,2,(x14),9349222,931
David Guetta & Sia - Titanium,871,1,(x6),9258273,589
Mark Ronson - Uptown Funk,1389,1,(x20),9148293,1246
Avicii - Wake Me Up,1028,1,(x17),8999113,722
PSY - Gangnam Style,1046,1,(x95),8997590,648
ADELE - Skyfall,1137,1,(x11),8936640,883
Maroon 5 - Moves Like Jagger,767,1,(x64),8596279,194
Daft Punk - Get Lucky,852,1,(x68),8504212,1127
Robin Thicke - Blurred Lines,994,1,(x37),8480398,150
Rihanna - We Found Love,691,1,(x76),7995683,464
Carly Rae Jepsen - Call Me Maybe,569,1,(x100),7981627,325
Katy Perry - Roar,934,1,(x55),7905442,957
Passenger - Let Her Go,932,6,,7898325,958
LMFAO - Party Rock Anthem,711,1,(x9),7835367,276
P!nk - Just Give Me a Reason,725,1,(x23),7818687,1047
Luis Fonsi - Despacito,757,1,(x103),7656718,507
Adele - Hello,1205,1,(x111),7624777,1398
Lady Gaga & Bradley Cooper - Shallow,496,1,(x154),7362668,7722
Wiz Khalifa - See You Again,1064,1,(x95),7291287,2845
Sia - Chandelier,1027,3,(x2),7266466,1013
Ellie Goulding - Love Me Like You Do,1123,1,(x53),7225377,1033
Justin Timberlake - CAN'T STOP THE FEELING,907,1,(x45),7036512,854
Fun. - We Are Young,566,1,(x22),7013801,596
Taylor Swift - Shake It Off,601,1,(x47),6950480,893
Bruno Mars - Locked Out of Heaven,611,3,(x8),6937883,550
Coldplay - Paradise,698,2,(x8),6880367,479
Michel Teló - Ai Se Eu Te Pego,465,1,(x21),6839467,403
Coldplay - A Sky Full of Stars,978,1,(x10),6623926,1390
Bruno Mars - Just the Way You Are,690,2,(x22),6560845,425
LMFAO - Sexy and I Know It,548,2,(x14),6464643,362
will.i.am - Scream & Shout,461,1,(x36),6374110,74
Shakira - Waka Waka,777,3,(x1),6338235,7024
Bruno Mars - When I Was Your Man,515,3,(x5),6034378,579
OneRepublic - Counting Stars,619,5,,6005747,237
Camila Cabello - Havana,698,1,(x73),5978512,585
Justin Bieber - Sorry,520,2,(x92),5919020,0
Imagine Dragons - Radioactive,690,12,,5914704,613
Pitbull - Give Me Everything,487,1,(x63),5860414,244
Alan Walker - Faded,982,1,(x17),5857649,535
Pitbull - Timber,390,1,(x21),5755758,541
Jennifer Lopez - On the Floor,480,1,(x53),5731740,3463
Imagine Dragons - Believer,1099,10,,5695304,1637
The Chainsmokers & Coldplay - Something Just Like This,713,2,(x59),5686418,718
Ed Sheeran - Photograph,1314,5,,5590488,902
Taylor Swift - Blank Space,509,1,(x38),5585819,580
Eminem - Love the Way You Lie,593,1,(x65),5566355,225
Katy Perry - Firework,710,2,(x18),5441920,218
Hozier - Take Me To Church,506,3,(x1),5434973,476
Rihanna - Stay,474,1,(x2),5407860,481
Katy Perry - Dark Horse,509,2,(x48),5354175,443
Maroon 5 - Payphone,429,2,(x27),5313531,218
Foster The People - Pumped Up Kicks,629,10,,5244977,432
Justin Bieber - Love Yourself,466,1,(x12),5210978,0
Rihanna - Only Girl,531,1,(x42),5195455,71
Imagine Dragons - Thunder,772,5,,5175326,545
P!nk - Try,486,5,,5108194,405
Billie Eilish - bad guy,313,1,(x16),5052439,18035
Macklemore & Ryan Lewis - Can't Hold Us,433,4,,5034668,617
Sam Smith - Stay With Me,500,4,,5028326,0
Macklemore & Ryan Lewis - Thrift Shop,441,1,(x3),4978600,249
Major Lazer - Lean On,429,1,(x21),4964596,108
Imagine Dragons - Demons,609,11,,4898403,505
Christina Perri - A Thousand Years,1019,23,,4895615,1373
Lorde - Royals,348,2,(x4),4862722,150
Justin Timberlake - Mirrors,407,3,(x10),4820819,0
Avicii - Hey Brother,408,3,(x2),4811691,484
David Guetta & Usher - Without You,493,2,(x4),4789604,13
The Chainsmokers - Closer,448,1,(x45),4758070,371
Maroon 5 - One More Night,405,4,,4738777,390
Pitbull - Feel This Moment,414,3,(x1),4700176,456
Sia - Cheap Thrills,423,2,(x3),4694128,243
Meghan Trainor - All About That Bass,390,1,(x22),4619411,446
Maroon 5 - Girls Like You,529,1,(x46),4550817,748
Nicki Minaj - Starships,455,4,,4544308,44
Flo Rida - Good Feeling,498,4,,4523785,188
Clean Bandit - Rockabye,404,1,(x5),4519590,292
Omi - Cheerleader,411,2,(x4),4512827,362
Coldplay - Viva la Vida,886,21,,4437260,117
Mariah Carey - All I Want for Christmas Is You,440,1,(x8),4397473,42
Eminem - The Monster,240,1,(x51),4379355,232
Lucenzo - Danza Kuduro,507,8,,4370435,50
Miley Cyrus - Wrecking Ball,274,3,(x34),4368699,194
Justin Bieber - What Do You Mean,290,1,(x47),4361580,25
Flo Rida - Whistle,385,2,(x60),4352347,155
Maroon 5 - Sugar,406,4,,4343392,151
Lady Gaga - Always Remember Us This Way,488,2,(x18),4335926,3408
Lilly Wood & the Prick & Robin Schulz - Prayer In C,361,2,(x7),4319176,516
One Direction - What Makes You Beautiful,627,6,,4234153,168
Calvin Harris - This Is What You Came For,313,1,(x32),4228842,332
Martin Garrix - Animals,415,10,,4197551,0
Bruno Mars - Grenade,453,1,(x11),4164596,37
Mr. Probz - Waves,379,7,,4149853,292
MAGIC! - Rude,429,4,,4148794,336
The Black Eyed Peas - I Gotta Feeling,637,14,,4130584,589
The Lumineers - Ho Hey,405,8,,4125037,61
Rag'n'Bone Man - Human,561,5,,4117919,317
Shawn Mendes & Camila Cabello - Señorita,229,1,(x108),4104021,8801
Bruno Mars - Treasure,358,7,,4029747,445
Lykke Li - I Follow Rivers,671,31,,3996354,293
DJ Snake - Let Me Love You,285,1,(x32),3986020,195
Clean Bandit - Rather Be,382,3,(x2),3985474,293
Drake - One Dance,303,1,(x10),3971765,194
Coldplay - Hymn for the Weekend,394,6,,3949507,273
James Arthur - Impossible,439,21,,3894089,466
Rihanna - Where Have You Been,380,5,,3887769,117
Calvin Harris & Disciples - How Deep Is Your Love,291,2,(x22),3875361,392
One Direction - Story Of My Life,334,1,(x2),3873136,371
twenty one pilots - Stressed Out,407,2,(x1),3867424,201
Enrique Iglesias - Bailando,515,13,,3864020,273
Lukas Graham - 7 Years,422,1,(x2),3854954,182
Ed Sheeran - I See Fire,491,10,,3849478,354
Calvin Harris - Summer,317,1,(x1),3840478,215
Lil Nas X - Old Town Road,330,2,(x10),3831270,6313
Naughty Boy - La La La,376,5,,3802697,171
Sam Smith - I'm Not the Only One,441,7,,3779814,65
Alicia Keys - Girl On Fire,350,6,,3772963,301
Swedish House Mafia - Don't You Worry Child,354,3,(x2),3759172,32
Taylor Swift - I Knew You Were Trouble.,340,5,,3751575,100
Avicii - Levels,381,4,,3740651,86
The Weeknd - I Feel It Coming,373,3,(x5),3738414,460
John Newman - Love Me Again,376,8,,3698004,78
The Black Eyed Peas - The Time,327,1,(x58),3687818,0
Coldplay - Adventure of a Lifetime,321,2,(x2),3681335,216
The Weeknd - Can't Feel My Face,306,1,(x10),3673006,157
The Weeknd - Starboy,262,1,(x34),3661115,434
Bruno Mars - 24K Magic,386,1,(x1),3617183,83
Capital Cities - Safe and Sound,369,12,,3581583,131
Pitbull - Rain Over Me,379,3,(x1),3578200,70
Ava Max - Sweet but Psycho,439,2,(x28),3561138,972
Alexandra Stan - Mr. Saxobeat,429,4,,3560720,29
The Chainsmokers - Don't Let Me Down,347,4,,3549276,0
Lady GaGa - Born This Way,347,1,(x35),3540801,4
Lewis Capaldi - Someone You Loved,400,6,,3528017,7776
Post Malone - rockstar,446,3,(x8),3527755,238
Panic! At the Disco - High Hopes,608,5,,3517675,1106
Milky Chance - Stolen Dance,498,18,,3513575,342
Icona Pop - I Love It,440,7,,3506617,211
Charlie Puth - Attention,400,3,(x7),3498520,195
Disturbed - The Sound of Silence,871,26,,3478990,774
Rihanna and Kanye West and Paul McCartney - FourFiveSeconds,223,1,(x10),3443266,280
Ariana Grande - Problem,305,1,(x1),3436239,59
Harry Styles - Sign of the Times,403,1,(x2),3435233,147
Ellie Goulding - Burn,320,6,,3412467,39
Taylor Swift - We Are Never Ever Getting Back Together,272,3,(x4),3398529,28
Ed Sheeran - Castle on the Hill,475,2,(x7),3355714,258
Tones and I - Dance Monkey,238,1,(x81),3355602,21384
"Calvin Harris, Dua Lipa - One Kiss",349,1,(x50),3337183,150
Jennifer Lopez - Dance Again,317,4,,3332165,558
Coldplay - Magic,227,2,(x15),3327044,339
Flo Rida - Wild Ones,348,3,(x6),3314031,76
Flo Rida - Club Can't Handle Me,269,2,(x37),3311040,57
A Great Big World & Christina Aguilera - Say Something,368,9,,3300795,253
Taio Cruz - Dynamite,354,2,(x8),3287843,0
Usher - DJ Got Us Fallin' In Love,340,2,(x8),3279881,47
Kygo - Firestone,410,8,,3231765,106
Ed Sheeran & Justin Bieber - I Don't Care,271,1,(x27),3221007,2183
Mike Posner - I Took a Pill in Ibiza,302,2,(x1),3208788,44
P!nk - What About Us,310,1,(x10),3202707,42
Queen - Bohemian Rhapsody,456,3,(x7),3198834,1002
Rihanna - S&M,263,2,(x3),3183648,60
Shawn Mendes - There's Nothing Holdin' Me Back,436,4,,3174767,80
George Ezra - Shotgun,585,6,,3166891,660
Dynoro & Gigi d'Agostino - In My Mind,516,3,(x4),3159857,646
The Script - Hall of Fame,333,13,,3156439,327
Bruno Mars - The Lazy Song,337,4,,3154239,64
Loreen - Euphoria,353,7,,3138389,275
Asaf Avidan & the Mojos - One Day / Reckoning Song,370,13,,3136057,0
twenty one pilots - Heathens,293,3,(x2),3118759,101
"Jessie J, Ariana Grande & Nicki Minaj - Bang Bang",302,1,(x3),3108676,110
Portugal. The Man - Feel It Still,417,10,,3103519,127
Snoop Dogg & David Guetta - Sweat,297,5,,3088890,111
Marshmello & Bastille - Happier,415,4,,3062988,428
Martin Solveig - Hello,389,10,,3061064,84
Charlie Puth - We Don’t Talk Anymore,285,4,,3060800,132
Nicky Jam & Enrique Iglesias - El Perdón,506,10,,3018184,372
ZAYN - Dusk Till Dawn,282,1,(x10),3012945,191
Miley Cyrus - We Can't Stop,250,2,(x1),3006881,35
Jessie J - Price Tag,288,6,,3001795,18
Lost Frequencies - Are You With Me,339,9,,2986181,192
Kygo & Selena Gomez - It Ain't Me,249,2,(x2),2975911,106
Nico & Vinz - Am I Wrong,316,5,,2948389,100
Imany - Don't Be So Shy,377,14,,2941645,271
Calvin Harris - Blame,221,1,(x4),2915965,183
Duck Sauce - Barbra Streisand,301,4,,2914674,83
Keala Settle & The Greatest Showman Ensemble - This Is Me,569,6,,2897076,393
Kungs & Cookin' On 3 Burners - This Girl,291,6,,2895118,3
Fifth Harmony - Worth It,338,4,,2877602,154
"Calvin Harris, Sam Smith - Promises",323,1,(x1),2873654,132
Ariana Grande - Break Free,312,3,(x1),2865261,91
Jason Mraz - I'm Yours,292,49,,2862872,301
Metallica - Nothing Else Matters,203,58,,2855452,1116
AWOLNATION - Sail,450,35,,2849032,166
Post Malone & Swae Lee - Sunflower,473,7,,2848340,1192
James Arthur - Say You Won't Let Go,379,8,,2846733,231
Drake - Hotline Bling,268,3,(x2),2842552,69
Dua Lipa - New Rules,396,9,,2840418,90
Charlie Puth - Marvin Gaye,365,7,,2835499,28
Shawn Mendes - Stitches,317,4,,2834642,34
The Weeknd - Earned It,275,6,,2819277,201
Clean Bandit - Solo,272,1,(x1),2818753,35
Jason Derülo - Talk Dirty,307,8,,2798737,149
Jason Derülo - Want to Want Me,294,4,,2779414,58
Train - Drive By,327,9,,2770406,53
"Snoop Dogg & Wiz Khalifa - Young, Wild & Free",337,14,,2762810,48
Imagine Dragons - Whatever It Takes,486,16,,2757131,137
R. City - Locked Away,258,2,(x2),2750899,39
Lana Del Rey - Young and Beautiful,368,11,,2738211,220
David Guetta - Dangerous,235,2,(x2),2713883,151
Fun. - Some Nights,350,8,,2712181,60
Calvin Harris - Feel So Close,573,34,,2692150,228
Calvin Harris - Feels,240,2,(x17),2690519,0
Rihanna - Work,232,1,(x24),2681492,171
"Train - Hey, Soul Sister",432,11,,2677104,95
Fifth Harmony - Work from Home,252,4,,2671944,12
Idina Menzel - Let It Go,447,17,,2660197,369
Luis Fonsi & Demi Lovato - Échame La Culpa,313,3,(x7),2646927,66
DNCE - Cake By the Ocean,338,8,,2636400,0
The Wanted - Glad You Came,536,27,,2630505,33
Marc Anthony - Vivir Mi Vida,218,67,,2616191,486
Charlie Puth - One Call Away,343,9,,2612759,77
Bruno Mars - Marry You,262,17,,2611839,65
Clean Bandit - Symphony,345,7,,2607749,180
Imagine Dragons - Natural,343,4,,2604242,211
Kygo - Stole the Show,362,9,,2601232,82
Ed Sheeran - Galway Girl,395,9,,2593837,68
WALK THE MOON - Shut Up and Dance,347,13,,2583822,64
Lady Antebellum - Need You Now,346,7,,2582163,95
Michael Jackson & Justin Timberlake - Love Never Felt So Good,242,3,(x4),2577276,85
David Guetta - Where Them Girls At,223,1,(x7),2567705,0
Jason Mraz - I Won't Give Up,450,30,,2560697,208
Enrique Iglesias - DUELE EL CORAZON,294,10,,2547839,204
Sam Smith & Normani - Dancing with a Stranger,350,1,(x2),2547032,563
George Ezra - Budapest,459,26,,2534211,106
Pitbull - International Love,314,12,,2530572,21
David Guetta & Rihanna - Who's That Chick,240,4,,2526421,0
Lady Gaga - Applause,178,1,(x4),2510311,0
Lana Del Rey - Summertime Sadness,384,33,,2505992,115
Lost Frequencies - Reality,310,10,,2500353,129
Maroon 5 - Memories,138,2,(x50),2497481,16850
Ed Sheeran - Sing,333,5,,2476173,26
Yolanda Be Cool & Dcup - We No Speak Americano,233,2,(x5),2467667,9
Major Lazer - Cold Water,198,1,(x16),2456974,33
Felix Jaehn - Ain't Nobody,285,7,,2451426,107
Calvin Harris - Outside,249,3,(x1),2443986,47
Israel Kamakawiwo'ole - Over the Rainbow,380,28,,2438046,68
David Guetta - She Wolf,260,3,(x3),2435118,108
Maroon 5 - Maps,294,3,(x1),2433698,0
Of Monsters and Men - Little Talks,457,26,,2433204,41
ZAYN & Taylor Swift - I Don't Wanna Live Forever,209,1,(x8),2432599,0
Skrillex & Diplo - Where Are Ü Now,307,7,,2431281,37
One Direction - One Way or Another,238,1,(x6),2422632,161
Adele - When We Were Young,241,3,(x6),2419864,511
Selena Gomez & Marshmello - Wolves,243,1,(x3),2413933,38
Bastille - Pompeii,469,29,,2411032,503
Robin Schulz - Sugar,280,6,,2408262,74
Klingande - Jubel,376,23,,2402329,106
Shawn Mendes - Treat You Better,251,3,(x1),2387680,0
Katy Perry - Chained to the Rhythm,216,2,(x1),2385509,0
LP - Lost on You,497,18,,2374729,474
Mark Ronson - Nothing Breaks Like a Heart,300,1,(x1),2373988,104
Shakira - Loca,296,7,,2365990,197
"Cardi B, Bad Bunny & J Balvin - I Like It",361,4,,2363725,530
Maroon 5 - Animals,272,2,(x1),2356973,0
Halsey - Without Me,312,2,(x1),2350112,134
Sam Smith - Too Good at Goodbyes,225,2,(x4),2348775,0
Lana Del Rey - Video Games,252,10,,2348429,34
Kelly Clarkson - Stronger,303,13,,2344542,35
PSY - Gentleman,147,1,(x4),2340222,50
Owl City & Carly Rae Jepsen - Good Time,271,3,(x1),2318250,0
David Guetta & Sia - Flames,275,3,(x2),2308414,36
Taylor Swift - Style,291,4,,2307737,146
Ariana Grande - No Tears Left to Cry,270,1,(x14),2302471,36
5 Seconds of Summer - Youngblood,388,8,,2300068,227
Avicii - Addicted To You,272,8,,2285554,94
Aloe Blacc - I Need A Dollar,442,27,,2285447,10
Faul & Wad Ad & Pnau - Changes,304,14,,2282930,0
J Balvin & Willy William - Mi Gente,247,1,(x7),2276252,509
Jonas Brothers - Sucker,317,2,(x6),2256478,1024
David Guetta - Play Hard,256,8,,2256202,77
Jason Derülo - Wiggle,250,5,,2253719,14
The Weeknd - The Hills,308,8,,2246432,304
Lady GaGa - The Edge of Glory,250,1,(x3),2243046,0
Pitbull - Back In Time,222,5,,2239512,102
The Black Eyed Peas - Just Can't Get Enough,214,3,(x2),2229210,0
David Guetta - Hey Mama,223,4,,2226554,42
P!nk - Raise Your Glass,227,6,,2224106,0
David Guetta - Shot Me Down,257,4,,2220690,160
Adele - Send My Love,261,8,,2217120,53
Jay-Z - Empire State of Mind,485,27,,2215049,88
Rachel Platten - Fight Song,323,20,,2211520,158
Burak Yeter - Tuesday,323,19,,2205941,198
Calvin Harris - I Need Your Love,269,11,,2199021,53
Marshmello & Anne-Marie - FRIENDS,244,1,(x7),2197811,0
Stromae - Alors on danse,262,12,,2196074,171
Lady GaGa - Alejandro,263,6,,2195279,0
Bruno Mars - That's What I Like,302,6,,2178523,0
Rudimental - These Days,288,4,,2151625,16
B.o.B - Airplanes,190,3,(x2),2148087,0
Christina Perri - Jar of Hearts,350,29,,2141904,125
Sia - The Greatest,189,1,(x9),2141112,25
AronChupa - I'm an Albatraoz,270,13,,2141024,88
DJ Snake - Taki Taki,226,2,(x18),2140856,76
Jonas Blue - Fast Car,232,9,,2139732,97
Imagine Dragons - On Top of the World,400,34,,2138460,96
Drake - God's Plan,230,2,(x9),2138223,86
Sia - Elastic Heart,216,8,,2134780,177
Maroon 5 - Don't Wanna Know,190,4,,2130132,0
Wham! - Last Christmas,345,3,(x1),2129583,0
