Video,Views,Current avg/day
Daddy Yankee & Snow - Con Calma (Video Oficial),1712046832,1563389
"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho",1278376000,1962075
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial)",1069324165,2644025
"Anuel AA, KAROL G - Secreto",948312426,668069
"Shawn Mendes, Camila Cabello - Señorita",910252756,1450298
"Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)",904777091,1336000
"Maari 2 - Rowdy Baby (Video Song) | Dhanush, Sai Pallavi | Yuvan Shankar Raja | Balaji Mohan",766528055,758763
Billie Eilish - bad guy,752615926,2018142
BLACKPINK - 'Kill This Love' M/V,729256068,874194
"Vaaste Song: Dhvani Bhanushali, Tanishk Bagchi | Nikhil D | Bhushan Kumar | Radhika Rao, Vinay Sapru",694547292,941546
Ariana Grande - 7 rings,688663388,823930
BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) feat. Halsey' Official MV,686977869,853645
Maluma - HP (Official Video),651040437,332175
TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),629308561,4730903
FILHALL | Akshay Kumar Ft Nupur Sanon | BPraak | Jaani | Arvindr Khaira | Ammy Virk | Official Video,580492713,3017144
"Sam Smith, Normani - Dancing With A Stranger (Official Video)",514201323,429169
Lehanga : Jass Manak (Official Video) Satti Dhillon | Latest Punjabi Songs | GK.DIGITAL | Geet MP3,509072507,2199150
Te Robaré - Nicky Jam x Ozuna | Video Oficial,501884373,251670
Lil Nas X - Old Town Road (feat. Billy Ray Cyrus) [Remix],495553235,340772
Soltera Remix - Lunay X Daddy Yankee X Bad Bunny ( Video Oficial ),482143040,710703
Maluma - 11 PM (Official Video),481807857,589035
"Tainy, Anuel AA, Ozuna - Adicto (Official Video)",469590661,988149
"Sebastián Yatra, Reik - Un Año",462171575,410914
"The Black Eyed Peas, J Balvin - RITMO (Bad Boys For Life)",456376599,2534195
"KAROL G, Nicki Minaj - Tusa (Official Video)",452478806,7353952
"Wisin & Yandel, Romeo Santos - Aullando (Official Video)",432651047,219167
Lil Nas X - Old Town Road (Official Movie) ft. Billy Ray Cyrus,431394289,666587
Sech - Otro Trago ft. Darell (Video Oficial),421275103,383769
Callaíta - Bad Bunny ( Video Oficial ),417164503,739576
Daddy Yankee - Que Tire Pa' 'Lante (Video Oficial),416575732,2269828
"Luka Chuppi: COCA COLA Song | Kartik A, Kriti S | Tony Kakkar Tanishk Bagchi Neha Kakkar Young Desi",410470840,479581
Paulo Londra - Tal Vez (Official Video),406129993,640395
She Don't Know: Millind Gaba Song | Shabby | New Hindi Song 2019 | Latest Hindi Songs,400001955,395396
Dheeme Dheeme - Tony Kakkar ft. Neha Sharma | Official Music Video,385671706,634584
Maroon 5 - Memories (Official Video),380298191,1520820
Dhurata Dora ft. Soolking - Zemër,379505702,517845
COKA : Sukh-E Muzical Doctorz | Alankrita Sahai | Jaani | Arvindr Khaira | Latest Punjabi Song 2019,375148306,404870
"Camilo, Pedro Capó - Tutu (Official Video)",368574976,906555
"Batla House: O SAKI SAKI Video | Nora Fatehi, Tanishk B, Neha K, Tulsi K, B Praak, Vishal-Shekhar",354545951,622220
Ed Sheeran & Justin Bieber - I Don't Care [Official Video],347943447,527428
Guaynaa - “ReBoTa” 🍑,340052243,297470
"Ve Maahi | Kesari | Akshay Kumar & Parineeti Chopra | Arijit Singh | Tanishk Bagchi , Asees",338416711,439481
"Arijit Singh: Pachtaoge | Vicky Kaushal, Nora Fatehi |Jaani, B Praak, Arvindr Khaira | Bhushan Kumar",336946848,514773
Myke Towers & Farruko - Si Se Da [Official Video],336777588,220799
"Ariana Grande - break up with your girlfriend, i'm bored",331828183,244370
Rauw Alejandro ❌ Farruko - Fantasías (Video Oficial),325432835,1428391
Verte Ir - Dj Luian x Mambo Kingz x Anuel Aa x Darell x Nicky Jam x Brytiago,316304514,347507
Billie Eilish - bury a friend,310101394,460163
KAROL G - Ocean (Video Oficial),304102175,455041
Matheus & Kauan - Vou Ter Que Superar (Ao Vivo) ft. Marilia Mendonça,299228495,326855
Cardi B & Bruno Mars - Please Me (Official Video),298586361,224738
Taylor Swift - ME! (feat. Brendon Urie of Panic! At The Disco),297707128,255051
"#Video - #Rap Song - हैलो कौन - #Ritesh Pandey,Sneh Upadhya - Hello Koun - New Bhojpuri Song 2019",292284456,4209234
Marília Mendonça - TODO MUNDO VAI SOFRER (Todos Os Cantos),292283303,358771
Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus,287953598,1367938
"Becky G, Maluma - La Respuesta (Official Video)",279913808,286619
BẠC PHẬN | K-ICM ft. JACK | OFFICIAL MV,276830623,400310
Offset - Clout ft. Cardi B (Official Video),270374492,310149
Housefull 4: Shaitan Ka Saala Video | Akshay Kumar | Sohail Sen Feat. Vishal Dadlani,268914891,1449278
"ROSALÍA, Ozuna - Yo x Ti, Tu x Mi (Official Video)",267112648,660129
"Sebastián Yatra, Daddy Yankee, Natti Natasha - Runaway ft. Jonas Brothers",264803488,318784
SÓNG GIÓ | K-ICM x JACK | OFFICIAL MUSIC VIDEO,263865505,521733
Reynmen - Derdim Olsun (Official Video),263700006,145601
"Alan Walker, Sabrina Carpenter & Farruko - On My Way",261959152,289824
"TWICE ""FANCY"" M/V",260826882,367006
Natti Natasha X Romeo Santos - La Mejor Versión De Mi (Remix) [Official Video],259501637,744818
"Lady Gaga, Bradley Cooper - Shallow (From A Star Is Born/Live From The Oscars)",256501601,256236
Anitta & Kevinho - Terremoto (Official Music Video),255774988,211140
"Myke Towers, Farruko, Arcangel, Sech & Zion - Si Se Da Remix (Video Oficial)",255203686,1040800
Christian Nodal - De Los Besos Que Te Di (Video Oficial),250066947,346769
"J. Balvin, Bad Bunny - LA CANCIÓN (Audio)",250050453,178969
Jonas Brothers - Sucker,249250327,189535
"GIMS, Maluma - Hola Señorita (Maria) [Official Video]",247075309,360879
Hook Up Song - Student Of The Year 2 | Tiger Shroff & Alia | Vishal and Shekhar |Neha Kakkar|Kumaar,244884003,383404
ชอบแบบนี้ - หนามเตย สะแบงบิน [OFFICIAL MV],242122789,108001
"Dalex - Pa Mi (Remix) ft. Sech, Rafa Pabön, Cazzu, Feid, Khea and Lenny Tavarez",240561882,85591
"Calvin Harris, Rag'n'Bone Man - Giant (Official Video)",239882383,169925
Ishq Ka Raja - Addy Nagar (Official Video)- Hamsar Hayat - New Hindi Songs 2019,236884866,398020
Khalid - Talk (Official Video),236322173,191488
Selena Gomez - Lose You To Love Me (Official Music Video),235726099,748339
"DJ Snake, J. Balvin, Tyga - Loco Contigo",233236192,417675
"Y2K, bbno$ - Lalala (Official Video)",229741815,847156
Lil Dicky - Earth (Official Music Video),226174970,160905
Reynmen - Ela (Official Video),225470607,305037
Lil Nas X - Panini (Official Video),222941480,538476
BLACKPINK - 'Kill This Love' DANCE PRACTICE VIDEO (MOVING VER.),220869001,251091
Badshah - Paagal,220804100,289862
กรรม - ป้าง นครินทร์「Official MV」,219314297,212081
"Los Ángeles Azules, Belinda, Lalo Ebratt - Amor A Primera Vista ft. Horacio Palencia",218738119,755798
Lil Tecca - Ransom (Dir. by @_ColeBennett_),214416149,334939
"Sarah Jeffery - Queen of Mean (From ""Descendants 3"")",210309192,345576
Gusttavo Lima - Milu (Clipe Oficial),208482661,380942
Mohamed Ramadan & Saad Lamjarred - Ensay / محمد رمضان وسعد المجرد - إنساي,207289935,272616
"SLOWLY SLOWLY | Guru Randhawa ft. Pitbull | Bhushan Kumar | DJ Shadow, Blackout, Vee, DJ MoneyWillz",205806970,94310
8 Parche | Baani Sandhu | Gur Sidhu | Gurneet Dosanjh | New Punjabi Song 2019 | White Hill Music,205270722,853524
Dababy - Suge (Yea Yea) Official Music Video,203516478,353420
أصيل هميم - سر الحياة | 2019 | Aseel Hameem - Ser Alhayah,203265386,307392
Sam Smith - How Do You Sleep? (Official Video),202549507,424989
21 Savage - a lot ft. J. Cole,202293068,216090
Aventura - Inmortal (Official Video),200876220,164415
